,machines,complexity,fabrication_time
116,8,4,61.335576690810996
117,6,3,59.06275062042796
118,8,1,32.679887359731836
119,7,1,38.85163790659205
120,7,4,69.49738054981965
121,5,4,79.59594431193611
122,9,2,40.06855934161443
123,6,3,66.48533756131127
124,4,4,81.55478863810336
125,6,2,51.173841563916405
126,1,4,92.13756356901114
127,3,3,74.72205728380911
128,6,4,73.48423592197025
129,3,4,84.72255948529273
130,6,4,74.87348492707052
131,4,1,54.82465541207489
132,2,3,76.26082618954679
133,3,2,68.2281046009953
134,6,1,38.52079188267653
135,6,2,53.802998110180575
136,6,2,55.449741128387316
137,6,4,73.12971221268715
138,6,1,40.44062165359152
139,4,4,80.82913759144445
140,9,2,38.9767091085782
141,4,2,61.63551043242011
142,4,1,51.59420631846667
143,9,1,29.28023444138137
144,8,2,44.426960097820334
145,7,4,66.08285269253356
146,1,1,65.01596034025957
147,9,4,62.536522340711414
148,7,4,67.73070915371497
149,9,2,38.6123278136896
150,2,2,73.15639460742848
151,8,1,28.881630667311807
152,2,3,83.36275720257657
153,6,1,41.73619248398967
154,2,1,61.327857144905174
155,8,2,44.192642711842396
156,8,1,35.88493623844079
157,6,2,52.46481050752931
158,4,1,50.6439484368711
159,1,2,78.09569158130219
160,7,1,33.77165236571764
161,5,1,47.54066836341049
162,7,1,35.80414915474176
163,8,3,52.476853223486884
164,9,4,63.522513362926276
165,8,4,63.91080914708829
166,1,2,75.89013939430276
167,4,1,48.43687428858882
168,7,3,57.04191068241061
169,2,2,71.39311480145757
170,5,4,78.20951538622644
171,1,1,66.73377310878655
172,2,4,91.01725579783515
173,1,2,76.55400841690933
174,8,1,34.90756382527137
175,3,3,72.84051917799094
176,4,1,52.0740114438203
177,9,3,51.03580481546541
178,7,3,59.67975964146904
179,1,2,74.77228238005841
180,2,3,79.38874698492127
181,6,2,50.76337615135674
182,6,3,62.737891976917176
183,3,2,68.76615975911945
184,9,2,35.596391797036794
185,6,4,71.68021654054101
186,5,4,75.22039508914645
187,6,1,44.569915042481
188,7,1,37.3913807468574
189,3,2,65.55872468369041
190,4,4,81.5661008601267
191,2,4,91.89078650178959
192,2,4,90.21522200370073
193,9,4,53.407713890400146
194,7,2,49.58662378277504
195,5,4,78.37808591534409
196,3,1,56.06091794333757
197,3,1,54.33192675865613
198,1,4,96.20356022136272
199,4,1,52.75847106707117
200,3,3,75.55993423459824
201,7,1,38.06653705884892
202,4,3,70.13968699495136
203,2,4,90.64282181582534
204,1,2,72.39914130983304
205,1,2,76.33463764206367
206,7,2,46.611263018351416
207,5,3,67.97620629566462
208,5,1,44.6880741674642
209,9,1,28.319884708260922
210,9,2,39.279021189868146
211,2,2,67.67860037626147
212,6,4,73.23029574628019
213,3,1,55.741704874240156
214,1,3,82.01528760438154
215,7,4,65.89351449177536
216,3,3,77.71024016816433
217,4,4,83.79111197110265
218,6,4,72.73618272044007
219,8,4,64.809523624081
220,6,3,63.44768712662582
221,8,4,64.65924596425548
222,3,4,89.07196801416059
223,8,2,40.98600320357146
224,2,1,62.352921464723245
225,9,2,38.73598208884436
226,7,1,38.05148213149672
227,2,2,70.39550053908987
228,9,1,28.749705766677433
229,7,3,56.047607616433964
230,3,2,66.8666783985152
231,2,4,94.34188606557771
232,5,4,77.38773395910249
233,1,3,85.49722991452981
234,2,2,69.62540192568667
235,4,3,71.76505090716378
236,4,4,82.93233285206806
237,5,2,56.75951511859132
238,3,3,75.592391917896
239,6,2,53.80652908032649
240,8,2,42.16399046036191
241,2,2,71.50499325415375
242,5,1,49.14064359452284
243,2,3,83.71989708335897
244,7,2,48.319235985446106
245,4,2,64.73519447961343
246,6,3,65.06881977296304
247,2,4,89.00757471925787
248,2,2,68.56412297681369
249,5,4,76.89007272429116
250,4,4,84.05787098518971
251,9,1,29.35542598487999
252,7,2,47.29868488468442
253,7,2,51.60448636009712
254,9,1,30.073808976006692
255,1,2,70.85881144841852
