Datei,Beschichtung_Ag_Sn,Zwischenschicht_Ni,Normalkraft,Frequenz,Bewegungshub,Zyklus_bei_1_mOhm,Zyklus_bei_2_mOhm,Zyklus_bei_5_mOhm,Zyklus_bei_10_mOhm,Zyklus_bei_20_mOhm,Zyklus_bei_50_mOhm,Zyklus_bei_100_mOhm,Zyklus_bei_300_mOhm
Sample-53.txt,Nein,Nein,2.0,2.0,100,8,9,31,241,290,1340,5623,12888
Sample-54.txt,Ja,Nein,2.5,1.5,100,15,168,274,3893,-1,-1,-1,-1
Sample-55.txt,Nein,Nein,1.0,1.5,200,1,10,16,52,131,256,659,2041
Sample-56.txt,Ja,Nein,2.5,1.5,100,22,52,503,743,-1,-1,-1,-1
Sample-57.txt,Ja,Nein,2.0,2.0,150,6,18,75,71,535,2731,-1,-1
Sample-58.txt,Nein,Ja,2.5,1.5,200,2,2,23,74,305,743,-1,-1
Sample-59.txt,Ja,Ja,5.0,1.0,150,3,142,353,-1,-1,-1,-1,-1
Sample-60.txt,Ja,Ja,2.5,1.5,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-61.txt,Ja,Ja,20.0,1.5,100,25,74,365,-1,-1,-1,-1,-1
Sample-62.txt,Nein,Ja,2.5,1.0,100,40,75,-1,-1,-1,-1,-1,-1
Sample-63.txt,Nein,Nein,2.0,1.0,400,5,6,43,93,239,460,934,3440
Sample-64.txt,Nein,Nein,4.0,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-65.txt,Nein,Nein,20.0,1.5,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-66.txt,Ja,Nein,2.0,1.0,200,11,49,370,3115,15893,-1,-1,-1
Sample-67.txt,Ja,Ja,2.0,1.5,150,37,171,306,894,3187,4754,-1,-1
Sample-68.txt,Nein,Nein,1.0,1.5,100,4,8,19,44,-1,-1,-1,-1
Sample-69.txt,Nein,Ja,5.0,1.5,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-70.txt,Ja,Nein,1.0,1.0,200,5,4,-1,-1,-1,-1,-1,-1
Sample-71.txt,Ja,Nein,2.5,1.5,150,19,48,321,1097,-1,-1,-1,-1
Sample-72.txt,Ja,Ja,3.0,1.5,100,37,90,696,2625,-1,-1,-1,-1
Sample-73.txt,Nein,Ja,2.0,1.5,100,22,-1,-1,-1,-1,-1,-1,-1
Sample-74.txt,Ja,Nein,2.5,1.5,200,13,96,68,682,-1,-1,-1,-1
Sample-75.txt,Ja,Nein,20.0,1.0,150,-1,-1,-1,-1,-1,-1,-1,-1
Sample-76.txt,Nein,Ja,2.5,1.5,150,25,76,339,1282,-1,-1,-1,-1
Sample-77.txt,Ja,Nein,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-78.txt,Ja,Nein,20.0,2.0,200,43,34,247,747,1622,12068,-1,-1
Sample-79.txt,Nein,Nein,2.0,1.5,100,13,70,252,1775,6299,-1,-1,-1
Sample-80.txt,Ja,Nein,20.0,1.0,100,46,-1,-1,-1,-1,-1,-1,-1
Sample-81.txt,Nein,Nein,2.5,1.0,100,24,56,792,1477,4168,35841,60903,-1
Sample-82.txt,Nein,Ja,3.0,1.5,100,38,100,308,1930,-1,-1,-1,-1
Sample-83.txt,Nein,Ja,3.0,1.5,100,41,242,1213,-1,-1,-1,-1,-1
Sample-84.txt,Ja,Nein,2.5,1.0,150,24,154,719,-1,-1,-1,-1,-1
Sample-85.txt,Ja,Nein,2.0,1.5,200,4,13,51,173,198,1258,4161,13794
Sample-86.txt,Nein,Ja,5.0,1.5,100,28,111,424,986,8878,60187,255353,400000
Sample-87.txt,Nein,Nein,2.0,1.0,400,2,6,29,55,89,410,710,5663
Sample-88.txt,Nein,Nein,2.5,1.5,150,21,101,618,1080,640,18971,60505,383258
Sample-89.txt,Nein,Ja,20.0,1.0,200,16,176,-1,-1,-1,-1,-1,-1
Sample-90.txt,Ja,Ja,4.0,1.5,100,20,59,1130,4203,9714,66896,207799,-1
Sample-91.txt,Ja,Nein,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-92.txt,Ja,Nein,2.5,1.5,100,21,71,133,-1,-1,-1,-1,-1
Sample-93.txt,Ja,Nein,2.5,1.0,100,8,-1,-1,-1,-1,-1,-1,-1
Sample-94.txt,Nein,Ja,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-95.txt,Ja,Ja,2.0,1.5,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-96.txt,Nein,Ja,2.0,1.0,100,38,-1,-1,-1,-1,-1,-1,-1
Sample-97.txt,Nein,Nein,2.0,1.5,100,30,144,695,2590,7704,21653,74021,-1
Sample-98.txt,Nein,Nein,2.5,1.5,150,42,143,404,407,3673,7115,40436,400000
Sample-99.txt,Nein,Nein,2.5,2.0,100,2,11,49,77,-1,-1,-1,-1
Sample-100.txt,Nein,Ja,1.0,1.5,200,3,10,15,182,211,680,-1,-1
Sample-101.txt,Ja,Nein,2.0,1.0,100,21,131,0,-1,-1,-1,-1,-1
Sample-102.txt,Nein,Ja,3.0,2.0,400,6,33,50,210,656,1636,4499,28781
Sample-103.txt,Ja,Ja,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-104.txt,Nein,Nein,2.5,2.0,100,7,19,81,231,743,2266,4646,25151
Sample-105.txt,Ja,Nein,2.5,2.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-106.txt,Nein,Ja,5.0,2.0,200,7,13,45,82,128,396,1400,3031
Sample-107.txt,Ja,Nein,2.5,1.5,200,33,138,509,2015,5435,51294,152109,-1
Sample-108.txt,Nein,Ja,2.5,1.0,100,41,-1,-1,-1,-1,-1,-1,-1
Sample-109.txt,Nein,Nein,1.0,2.0,100,2,5,22,57,173,567,1328,4361
Sample-110.txt,Nein,Ja,2.5,1.0,100,54,-1,-1,-1,-1,-1,-1,-1
Sample-111.txt,Ja,Ja,1.0,2.0,100,8,17,54,252,621,3279,6783,37766
Sample-112.txt,Ja,Ja,2.5,1.0,100,12,-1,-1,-1,-1,-1,-1,-1
Sample-113.txt,Nein,Nein,1.0,1.0,200,1,5,5,22,59,195,224,-1
Sample-114.txt,Ja,Ja,2.5,1.5,100,48,164,217,901,3110,-1,-1,-1
Sample-115.txt,Ja,Nein,3.0,2.0,400,3,9,27,82,230,731,1821,3795
Sample-116.txt,Nein,Ja,2.5,1.5,100,19,178,274,2351,-1,-1,-1,-1
Sample-117.txt,Ja,Nein,2.5,2.0,150,3,-1,-1,-1,-1,-1,-1,-1
Sample-118.txt,Nein,Ja,2.0,1.5,100,8,44,276,393,2963,12382,28135,271357
Sample-119.txt,Ja,Ja,4.0,1.0,100,18,69,-1,-1,-1,-1,-1,-1
Sample-120.txt,Nein,Nein,2.5,1.5,100,10,12,841,3264,5537,-1,-1,-1
Sample-121.txt,Ja,Nein,2.5,1.5,400,5,14,36,122,162,1283,3932,8308
Sample-122.txt,Ja,Ja,1.0,2.0,100,3,-1,-1,-1,-1,-1,-1,-1
Sample-123.txt,Ja,Nein,4.0,1.0,200,-1,-1,-1,-1,-1,-1,-1,-1
Sample-124.txt,Nein,Ja,2.5,1.0,200,8,82,1521,3304,18031,16109,-1,-1
Sample-125.txt,Ja,Ja,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-126.txt,Nein,Nein,1.0,1.5,100,5,23,63,183,613,-1,-1,-1
Sample-127.txt,Ja,Nein,2.0,1.5,150,27,67,360,1319,4248,-1,-1,-1
Sample-128.txt,Ja,Nein,2.5,1.5,200,43,95,710,1658,6583,25302,50708,-1
Sample-129.txt,Nein,Ja,5.0,1.0,100,45,113,377,-1,-1,-1,-1,-1
Sample-130.txt,Ja,Ja,2.5,1.5,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-131.txt,Nein,Ja,2.5,1.5,200,2,7,14,37,218,634,874,7876
Sample-132.txt,Ja,Ja,2.5,2.0,100,20,59,-1,-1,-1,-1,-1,-1
Sample-133.txt,Nein,Ja,2.0,1.5,200,7,16,55,164,507,1813,5094,32406
Sample-134.txt,Nein,Ja,1.0,1.0,100,7,15,45,124,138,-1,-1,-1
Sample-135.txt,Nein,Nein,4.0,2.0,100,35,48,592,2420,0,43366,-1,-1
Sample-136.txt,Ja,Nein,2.5,1.0,100,26,226,725,9207,24076,-1,-1,-1
Sample-137.txt,Nein,Nein,2.0,2.0,100,4,-1,-1,-1,-1,-1,-1,-1
Sample-138.txt,Ja,Nein,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-139.txt,Nein,Ja,1.0,2.0,100,7,23,38,94,-1,-1,-1,-1
Sample-140.txt,Nein,Nein,2.5,1.5,100,46,147,1260,1761,23580,76171,-1,-1
Sample-141.txt,Nein,Nein,2.5,1.5,200,4,9,19,58,181,258,715,-1
Sample-142.txt,Nein,Ja,2.5,1.0,100,38,86,-1,-1,-1,-1,-1,-1
Sample-143.txt,Nein,Ja,20.0,1.5,200,18,64,136,700,1213,7923,-1,-1
Sample-144.txt,Ja,Nein,2.5,1.5,100,13,140,44,2292,5209,22889,-1,-1
Sample-145.txt,Nein,Ja,5.0,1.5,150,20,92,307,-1,-1,-1,-1,-1
Sample-146.txt,Nein,Ja,2.0,1.5,100,11,66,-1,-1,-1,-1,-1,-1
Sample-147.txt,Ja,Nein,5.0,1.5,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-148.txt,Ja,Ja,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-149.txt,Nein,Ja,2.5,2.0,100,33,76,520,130,2423,42920,72495,-1
Sample-150.txt,Nein,Nein,2.5,1.5,200,4,14,19,75,255,879,1720,11641
Sample-151.txt,Nein,Nein,2.5,1.0,100,40,86,427,599,498,-1,-1,-1
Sample-152.txt,Nein,Ja,2.0,1.0,200,42,67,720,620,13295,37961,185591,400000
Sample-153.txt,Ja,Nein,2.5,1.0,100,44,258,-1,-1,-1,-1,-1,-1
Sample-154.txt,Nein,Ja,2.5,1.0,100,20,87,561,-1,-1,-1,-1,-1
Sample-155.txt,Nein,Nein,1.0,1.5,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-156.txt,Nein,Nein,5.0,1.0,100,21,43,797,1718,3811,17981,-1,-1
Sample-157.txt,Ja,Ja,1.0,2.0,100,10,22,86,368,920,3511,11985,37347
Sample-158.txt,Nein,Nein,2.5,1.0,100,20,166,713,-1,-1,-1,-1,-1
Sample-159.txt,Ja,Ja,4.0,1.5,200,-1,-1,-1,-1,-1,-1,-1,-1
Sample-160.txt,Nein,Ja,2.5,1.5,150,16,41,245,1689,3292,7336,-1,-1
Sample-161.txt,Ja,Ja,2.0,1.5,100,53,92,195,928,2983,9086,-1,-1
Sample-162.txt,Nein,Ja,3.0,2.0,100,15,72,465,-1,-1,-1,-1,-1
Sample-163.txt,Ja,Nein,2.5,1.0,150,-1,-1,-1,-1,-1,-1,-1,-1
Sample-164.txt,Ja,Ja,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-165.txt,Ja,Ja,2.5,1.0,100,19,58,19,-1,-1,-1,-1,-1
Sample-166.txt,Nein,Nein,2.5,1.5,200,8,17,75,109,367,806,2315,-1
Sample-167.txt,Nein,Ja,2.5,1.5,100,22,10,511,1187,-1,-1,-1,-1
Sample-168.txt,Nein,Nein,2.5,2.0,100,5,9,64,137,299,2112,4033,-1
Sample-169.txt,Ja,Ja,5.0,2.0,100,12,30,175,552,1283,8997,-1,-1
Sample-170.txt,Ja,Ja,2.0,2.0,200,3,4,16,35,49,296,248,2304
Sample-171.txt,Ja,Ja,5.0,1.5,200,-1,-1,-1,-1,-1,-1,-1,-1
Sample-172.txt,Nein,Nein,1.0,1.5,200,3,8,43,71,164,1006,2556,9499
Sample-173.txt,Nein,Ja,2.5,1.5,100,38,81,410,1912,2640,14908,42737,-1
Sample-174.txt,Ja,Ja,4.0,2.0,100,40,223,800,1524,6998,52506,118068,0
Sample-175.txt,Ja,Nein,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-176.txt,Nein,Ja,2.5,1.0,100,44,102,585,1456,7723,19314,102719,-1
Sample-177.txt,Nein,Nein,2.5,1.0,100,31,-1,-1,-1,-1,-1,-1,-1
Sample-178.txt,Ja,Ja,2.0,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-179.txt,Nein,Ja,1.0,1.0,200,-1,-1,-1,-1,-1,-1,-1,-1
Sample-180.txt,Ja,Nein,2.5,1.5,100,46,-1,-1,-1,-1,-1,-1,-1
Sample-181.txt,Nein,Nein,5.0,1.5,200,35,104,861,1625,3901,-1,-1,-1
Sample-182.txt,Ja,Ja,3.0,1.5,150,-1,-1,-1,-1,-1,-1,-1,-1
Sample-183.txt,Ja,Nein,2.0,1.5,200,3,7,17,72,161,271,789,-1
Sample-184.txt,Ja,Ja,3.0,1.0,150,49,99,533,547,3854,-1,-1,-1
Sample-185.txt,Nein,Ja,2.0,2.0,150,-1,-1,-1,-1,-1,-1,-1,-1
Sample-186.txt,Nein,Ja,2.0,1.0,150,3,95,368,1039,-1,-1,-1,-1
Sample-187.txt,Ja,Nein,2.5,1.5,100,33,201,-1,-1,-1,-1,-1,-1
Sample-188.txt,Nein,Ja,5.0,1.5,200,6,54,462,1014,6074,14524,34485,-1
Sample-189.txt,Ja,Nein,5.0,1.5,150,30,-1,-1,-1,-1,-1,-1,-1
Sample-190.txt,Nein,Nein,2.5,1.0,200,26,100,586,1463,5014,-1,-1,-1
Sample-191.txt,Nein,Nein,2.5,1.5,100,38,207,418,501,-1,-1,-1,-1
Sample-192.txt,Ja,Ja,2.5,1.5,100,45,44,299,1918,7326,46446,143633,-1
Sample-193.txt,Nein,Nein,5.0,1.0,100,12,69,-1,-1,-1,-1,-1,-1
Sample-194.txt,Ja,Nein,2.5,1.5,150,14,59,645,2190,-1,-1,-1,-1
Sample-195.txt,Ja,Nein,5.0,1.5,150,26,106,503,2037,3598,30707,98246,-1
Sample-196.txt,Ja,Nein,2.0,1.0,200,27,87,134,-1,-1,-1,-1,-1
Sample-197.txt,Nein,Nein,2.0,2.0,200,4,4,21,24,95,200,593,-1
Sample-198.txt,Nein,Ja,2.5,1.0,400,9,17,48,194,446,1173,1555,-1
Sample-199.txt,Ja,Ja,2.5,1.5,200,-1,-1,-1,-1,-1,-1,-1,-1
Sample-200.txt,Ja,Nein,2.5,1.5,400,-1,-1,-1,-1,-1,-1,-1,-1
Sample-201.txt,Nein,Ja,2.5,1.5,100,60,0,1115,2567,12659,-1,-1,-1
Sample-202.txt,Nein,Nein,4.0,1.5,150,24,59,1006,2150,10595,60086,214351,400000
Sample-203.txt,Ja,Ja,2.5,1.0,200,30,103,-1,-1,-1,-1,-1,-1
Sample-204.txt,Ja,Ja,2.5,2.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-205.txt,Ja,Ja,2.5,1.0,100,27,124,266,-1,-1,-1,-1,-1
Sample-206.txt,Ja,Nein,2.0,1.5,200,0,-1,-1,-1,-1,-1,-1,-1
Sample-207.txt,Ja,Nein,2.0,1.5,100,58,73,780,1916,-1,-1,-1,-1
Sample-208.txt,Nein,Nein,2.5,1.5,100,37,99,891,2838,4811,28647,-1,-1
Sample-209.txt,Ja,Nein,2.5,1.5,150,15,111,287,569,1414,6425,25741,-1
Sample-210.txt,Nein,Ja,2.5,1.5,200,9,11,76,157,365,1354,4662,12162
Sample-211.txt,Ja,Ja,1.0,1.5,200,2,4,15,-1,-1,-1,-1,-1
Sample-212.txt,Nein,Nein,2.5,1.0,100,26,75,-1,-1,-1,-1,-1,-1
Sample-213.txt,Nein,Ja,2.5,1.5,200,4,27,68,139,349,2277,5863,11054
Sample-214.txt,Ja,Nein,2.5,2.0,100,34,103,265,-1,-1,-1,-1,-1
Sample-215.txt,Nein,Nein,2.0,2.0,100,8,20,19,98,-1,-1,-1,-1
Sample-216.txt,Ja,Nein,20.0,1.5,100,33,138,461,1526,1481,28122,97201,400000
Sample-217.txt,Ja,Nein,2.0,1.0,200,44,84,694,2124,-1,-1,-1,-1
Sample-218.txt,Nein,Nein,20.0,1.5,400,4,19,54,154,396,1733,2689,13405
Sample-219.txt,Nein,Nein,2.5,1.0,400,5,5,-1,-1,-1,-1,-1,-1
Sample-220.txt,Ja,Nein,2.5,2.0,400,1,4,51,221,692,1500,12630,62285
Sample-221.txt,Ja,Ja,2.0,1.5,200,21,94,-1,-1,-1,-1,-1,-1
Sample-222.txt,Nein,Nein,2.5,1.5,100,25,-1,-1,-1,-1,-1,-1,-1
Sample-223.txt,Nein,Ja,5.0,1.0,150,25,-1,-1,-1,-1,-1,-1,-1
Sample-224.txt,Ja,Nein,2.5,1.0,100,12,175,-1,-1,-1,-1,-1,-1
Sample-225.txt,Ja,Ja,2.5,1.5,200,11,148,326,1874,7095,16461,45827,248724
Sample-226.txt,Nein,Nein,4.0,1.5,200,3,10,4,63,-1,-1,-1,-1
Sample-227.txt,Nein,Nein,5.0,1.0,100,20,198,-1,-1,-1,-1,-1,-1
Sample-228.txt,Ja,Nein,5.0,2.0,100,17,131,134,1168,-1,-1,-1,-1
Sample-229.txt,Ja,Nein,1.0,1.5,150,2,4,19,37,150,215,1360,6333
Sample-230.txt,Ja,Nein,2.0,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-231.txt,Nein,Ja,2.0,1.5,150,7,106,252,1054,833,14480,-1,-1
Sample-232.txt,Nein,Ja,2.0,2.0,200,4,17,55,90,282,766,-1,-1
Sample-233.txt,Ja,Nein,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-234.txt,Nein,Nein,1.0,2.0,200,2,5,17,52,-1,-1,-1,-1
Sample-235.txt,Ja,Ja,2.5,1.5,100,22,81,490,-1,-1,-1,-1,-1
Sample-236.txt,Nein,Nein,2.5,1.5,100,21,116,892,2365,4370,74534,291342,-1
Sample-237.txt,Ja,Nein,2.5,2.0,150,7,8,55,124,291,820,1388,-1
Sample-238.txt,Ja,Ja,1.0,1.0,100,39,144,243,2951,-1,-1,-1,-1
Sample-239.txt,Nein,Ja,5.0,1.0,200,25,61,359,953,-1,-1,-1,-1
Sample-240.txt,Nein,Nein,2.5,1.0,150,20,122,374,1537,-1,-1,-1,-1
Sample-241.txt,Nein,Nein,2.5,1.5,100,13,117,744,2130,3782,32630,20413,-1
Sample-242.txt,Nein,Nein,5.0,1.5,200,33,79,373,496,1715,10865,-1,-1
Sample-243.txt,Nein,Nein,2.0,2.0,200,8,18,114,207,1615,5841,29142,225029
Sample-244.txt,Nein,Nein,2.0,1.0,150,37,61,334,992,13592,-1,-1,-1
Sample-245.txt,Nein,Ja,1.0,1.5,100,3,8,21,86,198,708,1415,-1
Sample-246.txt,Nein,Nein,1.0,1.0,100,6,7,43,108,212,233,1709,4407
Sample-247.txt,Ja,Ja,2.0,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-248.txt,Nein,Ja,2.5,1.5,100,28,61,303,649,1340,1317,9795,-1
Sample-249.txt,Ja,Ja,1.0,1.0,100,42,92,269,932,3220,-1,-1,-1
